query,source,impressions,clicks,ctr,position,already_covered,matched_slug,score
acne face wash,autocomplete,0,0,0.0,0.0,False,,15.0
acne medication,autocomplete,0,0,0.0,0.0,False,,15.0
acne vulgaris,autocomplete,0,0,0.0,0.0,False,,15.0
bbl 2026,autocomplete,0,0,0.0,0.0,False,,15.0
bbl before and after,autocomplete,0,0,0.0,0.0,False,,15.0
bbl draft,autocomplete,0,0,0.0,0.0,False,,15.0
bbl drizzy,autocomplete,0,0,0.0,0.0,False,,15.0
bbl hero,autocomplete,0,0,0.0,0.0,False,,15.0
bbl jacket,autocomplete,0,0,0.0,0.0,False,,15.0
bbl jeans,autocomplete,0,0,0.0,0.0,False,,15.0
bbl laser,autocomplete,0,0,0.0,0.0,False,,15.0
bbl laser brisbane,autocomplete,0,0,0.0,0.0,False,,15.0
bbl meaning,autocomplete,0,0,0.0,0.0,False,,15.0
bbl privatisation,autocomplete,0,0,0.0,0.0,False,,15.0
bbl surgery,autocomplete,0,0,0.0,0.0,False,,15.0
bbl teams,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin behind ear,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin cream,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin in ears,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin moisturiser,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin moisturizer,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin on eyelid,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin on face,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin on feet,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin pokemon,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin under beard,autocomplete,0,0,0.0,0.0,False,,15.0
dry skin under eyes,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea causes,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea cream,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea cream chemist warehouse,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea dermnet,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea nose,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea on face,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea pronunciation,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea skin,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea skin care,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea symptoms,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea triggers,autocomplete,0,0,0.0,0.0,False,,15.0
rosacea types,autocomplete,0,0,0.0,0.0,False,,15.0
rosaceae,autocomplete,0,0,0.0,0.0,False,,15.0
sagging skinny jeans,autocomplete,0,0,0.0,0.0,False,,15.0
sagging skins of the dilapidated drum meaning,autocomplete,0,0,0.0,0.0,False,,15.0
sun damage car paint repair,autocomplete,0,0,0.0,0.0,False,,15.0
sun damage cream,autocomplete,0,0,0.0,0.0,False,,15.0
